Fold,Accuracy,Mean Accuracy
1,0.9932432432432432,0.9979729729729729
2,0.9932432432432432,0.9979729729729729
3,0.9932432432432432,0.9979729729729729
4,1.0,0.9979729729729729
5,1.0,0.9979729729729729
6,1.0,0.9979729729729729
7,1.0,0.9979729729729729
8,1.0,0.9979729729729729
9,1.0,0.9979729729729729
10,1.0,0.9979729729729729
