Train Size,Train Score Mean,Train Score Std,Test Score Mean,Test Score Std
132,,,,
265,,,,
398,,,,
530,,,,
663,,,,
796,1.0,0.0,0.9918689097260526,0.0073072142336902636
928,1.0,0.0,0.9966124287552859,0.004553163219762392
1061,1.0,0.0,0.9972972972972972,0.0033101212740313424
1194,1.0,0.0,0.9979729729729729,0.0030963349290242356
1327,1.0,0.0,0.9979729729729729,0.0030963349290242356
